Region,Zone,District,Town,Population,Biowaste,Latitude,Longitude
Oromia,East Wollega,NEKEMTE,Nekemte,"156,004",20707,9.0931,36.5462
Amhara,North Shewa,DEBRE BREHAN,Debre Berhan,"146,918",19501,9.6767,39.533
Amhara,East Gojam ,DEBERE MARKOS,Debre Markos,"140,699",18675,10.3372,37.7341
Oromia,Arsi,ASELA,Asella,"139,537",18521,7.9589,39.1364
Amhara,South Wollo,KOMBOLCHA,Kombolcha,"132,123",17537,11.0862,39.7324
Amhara,South Gondar ,DEBRETABOR,Debre Tabor,"125,312",16633,11.85,38.0167
Tigray,Eastern  ,ADIGRAT,Adigrat,"121,776",16164,14.2809,39.4624
Amhara,North Wollo,WOLDIYA,Weldiya,"104,005",13805,11.8306,39.6
Oromia,South West Shewa,SEBETAWERWDA,Sebeta,"102,347",13585,8.9112,38.6268
Oromia,Burayu Special,BURAYU,Burayu,"101,408",13460,9.0341,38.6619
Tigray,North West  ,SHIRE ENIDASILASE,Shire,"100,079",13284,14.1,38.2833
Oromia,West Shewa,AMBO,Ambo,"99,905",13261,8.9833,37.85
Oromia,West Arsi,ARSI NEGELE,Negele Arsi,"98,114",13023,7.35,38.7
Gambela,Agnuwak,GAMBELA,Gambela,"97,643",12960,8.25,34.5833
Tigray,Central  ,AXUM,Axum,"94,515",12545,14.1248,38.7211
Oromia,Bale,ROBE,Robe,"92,053",12218,7.1167,40
Oromia,East Shewa,ZEWAYBATU,Ziway,"90,522",12015,7.9308,38.7164
SNNP,Gurage,BUTAJIRA,Butajira,"89,824",11923,8.1167,38.3667
Tigray,Central  ,ADWA,Adwa,"85,644",11368,14.1721,38.8872
SNNP,Wolayta,BOLOSO SORE,Areka,"84,478",11213,7.071,37.7076
SNNP,Sidama,DALE,Irgalem,81559,10825.54502,6.7501,38.4125
Oromia,South West Shewa,WELISO,Waliso,78577,10429.73615,8.5333,37.9667
SNNP,Gurage,WELKITE,Welkite,77514,10288.64131,8.2833,37.7833
Oromia,East Shewa,DUGDA,Meki,75171,9977.648628,8.15,38.817
Oromia,Guji,NEGELE,Negele Borana,73122,9705.679358,5.3384,39.5688
SNNP,Alaba Special,ALABA SPECIAL,Alaba Kulito,72162,9578.255981,7.311,38.0903
Tigray,Eastern  ,ALAMATA,Alamata,70441,9349.823031,12.4153,39.5597
Oromia,West Harerge,CHIRO,Chiro,69793,9263.812251,9.083,40.867
Benishangul,Asossa,ASOSA,Asosa,69720,9254.122765,10.167,34.417
Somali,Gode,GODE,Gode,67881,9010.027358,6.0205,43.127
SNNP,Sheka,YEKI,Teppi,66652,8846.898889,7.1967,35.4289
Oromia,Bale,GOBA,Goba,66469,8822.608808,7.0122,39.9735
SNNP,Kembata Timbaro,DURAME,Durame,65852,8740.712741,7.2333,37.8833
SNNP,Wolayta,DAMOT GALE,Boditi,64890,8613.023899,6.9667,37.8667
Oromia,West Wollega,GIMBI,Gimbi,64258,8529.136842,9.1667,35.8333
Tigray,Eastern  ,WUKRO,Wukro,63956,8489.051571,13.7915,39.6004
Oromia,East Harerge,HAROMAYA,Alemaya,63724,8458.257589,9.4,42.0167
SNNP,Bench Maji,MIZAN AMAN,Mizan Teferi,62006,8230.222837,6.9967,35.5896
Oromia,East Shewa,LOMME,"Mojo, Ethiopia",61311,8137.973621,8.65,39.0833
Oromia,Kelem Wollega,DEMBI DOLO,Dembidolo,61070,8105.985044,8.5323,34.8
SNNP,Gamo Gofa,SAWULAWEREDA,Sawula,61037,8101.604865,6.3005,36.8761
Oromia,Ilu Ababora,METU,Metu,59706,7924.937662,8.2968,35.5814
SNNP,Sidama,ALETA WONDO,Aleta Wendo,59302,7871.313658,6.5833,38.3333
Amhara,East Gojam ,HULET EJ ENESE,Mota,59048,7837.599556,11.0744,37.8703
Amhara,West Gojam ,FINOTE SELAM,Finote Selam,58429,7755.438024,10.7,37.2667
Oromia,Borena,BULE HORA,Bule Hora,57686,7656.817639,5.639,38.2406
Oromia,North Shewa,FICHE,Fiche,57067,7574.656108,9.7862,38.7356
Somali,Moyale Special,MOYALE SPECIAL,Moyale,57024,7568.948602,3.5147,39.0612
Amhara,North Wollo,KOBO,Kobo,56053,7440.065166,12.1594,39.633
SNNP,Kefa,BONGA,Bonga,56045,7439.003304,7.2667,36.2333
Amhara,Awi,DANGILA,Dangila,55966,7428.517422,11.2406,36.6984
SNNP,South Omo,DEBUB ARI,Jinka,54390,7219.330711,5.7833,36.5667
Oromia,Jimma,AGARO,Agaro,52802,7008.551208,7.8568,36.5869
Amhara,Awi,GUANGUA,Chagni,52333,6946.299579,10.95,36.5
Amhara,Wag Hemra,SEKOTA,Soqota,50316,6678.577755,12.633,39.033
Tigray,Eastern  ,MAYCHEW,Maychew,49603,6583.93935,12.7833,39.5333
SNNP,Sidama,WENDO GENET,Chuko,49522,6573.188003,6.5846,38.3341
Oromia,West Shewa,HOLETA,Holeta,48332,6415.236108,9.0633,38.4902
SNNP,Kembata Timbaro,HADERO TUNITO,Hadero,47961,6365.992282,7.1973,37.6546
Amhara,South Gondar ,FOGERA,Wereta,47827,6348.206103,11.9167,37.7
Oromia,Guji,ADOLA,Adola,47573,6314.492001,6,39.0833
Oromia,Guji,ODO SHAKISO,Shakiso,47537,6309.713624,5.75,38.9167
Amhara,Awi,BANJA SHEKUDAD,Injibara,47498,6304.53705,10.8668,36.9724
Somali,Degehabur,DEGEHABUR,Degehabur,47179,6262.195323,8.2189,43.5584
Amhara,North Gondar  ,DEBARK,Debarq,46835,6216.53528,13.1581,37.9003
Tigray,Western  ,HUMERA,Humera,46080,6116.322103,14.2894,36.6073
Amhara,West Gojam ,BURE,Bure (Gojjam),46033,6110.083667,10.7063,37.0612
Somali,Korahe ,KEBRIDEHAR,Kebri Dahar,45913,6094.155745,6.7333,44.2667
Amhara,South Gondar ,LAY GAYINT,Nefas Mewcha,44188,5865.191864,11.7357,38.4719
Amhara,Oromiya,KEMISE,Kemise,43791,5812.496988,10.717,39.867
Amhara,West Gojam ,YILMANA DENSA,Adet,43218,5736.44116,11.2667,37.4833
Oromia,West Arsi,DODOLA,Dodola,43186,5732.193714,6.9792,39.1804
Oromia,West Arsi,GEDEB ASASA,Asasa,42867,5689.851987,7.1,39.2
Amhara,West Gojam ,MECHA,Mecha,42159,5595.877247,11.5,37
SNNP,Hadiya,MISRAK BADAWOCHO,Shone,41942,5567.074254,7.1398,37.9546
Somali,Liben,DOLO ODO,"Dolo, Ethiopia",41350,5488.496505,4.1667,42.0667
Oromia,North Shewa,KUYU,Gerba Guracha,41225,5471.904919,9.8089,38.4156
SNNP,Gedeo,YIRGA CHEFE,Irgachefe,40627,5392.530774,6.167,38.2
Oromia,Ilu Ababora,BEDELE,Bedele,40483,5373.417268,8.45,36.35
Amhara,North Shewa,KEWET,Shewa Robit,39633,5260.594486,9.9947,39.8969
Oromia,West Wollega,NEJO,Nejo,39399,5229.535038,9.5,35.5
Amhara,Bahir Dar Special,BAHIR DAR,Tis Abay,39181,5200.599312,11.49004589,37.5885978
