Woreda,Latitude,Longitude
Ankasha Guagusa,11.0000,36.6667
Awabel,10.5000,37.7500
Bibugn,11.0000,37.5833
Bugna,12.3333,38.7500
Dangila,11.4167,36.6667
Debay Telatgen,10.7500,37.8333
Dembiya,12.6667,37.1667
Banja,11.1667,36.2500
Guangua,11.0000,36.3333
Kemekem,12.3333,37.6667
Meket,12.0000,38.7500
Hulet Ej Enese,11.2500,37.7500
Sekela,11.1667,37.0000
Soqota,13.0000,38.8333
Kewet,10.1667,39.7500
Tach Gayint,11.7500,38.3333
Meketewa,12.176469,38.345038
Adami Tullu JK,7.748878,38.666908
Boset,8.6667,39.5000
Botor Tolay,8.293306,37.363361
Chora,8.328658,36.25146
Dabo Hana,8.717362,36.265869
Dega,8.593568,36.1147
Didu,8.018648,35.450663
Diga,9.051766,35.717145
Hurumu,8.226994,35.805287
Leka Dulecha,8.915325,36.478574
Limu Kosa,8.166036,37.170001
Limmu,9.8333,36.4500
Satema,8.061603,36.218736
Sigmo,7.862025,36.044084
Yayu,8.397699,35.803392
Shewa Robit,9.99279,39.896771
Ale,8.0000,35.6667
Arbaminch Zuria,6.044794,37.55887
Daramalo,6.295539,37.318573
Debub Bench,6.716425,35.143032
Gerese,5.917589,37.305842
Gesha,6.582238,35.467038
Gimbo,7.342819,36.218748
Kindo koysha,6.833989,37.499054
Mirab Abaya,6.347544,37.764525
Soro,7.496971,37.595058
Wenago,6.317519,38.259659
Yirgachefe,6.154747,38.210455
Gombora,7.560365,37.595919
Sheko,7.043715,35.433505
Adwa,14.047452,39.092626
Ahferom,14.220596,39.25224
Degua Temben,13.675422,38.899797
Hawzein,13.981001,39.429547
Medebay Zana,12.296478,36.383978
Saharti Samre,13.24152,39.193818
Tahtay Koraro,13.867829,39.247938
Tahtay Maychew,12.786531,39.544596
Werei Leke,14.000305,39.167851
Saesi Tsaedaemba,14.2500,39.6667
